Rank,Team,Games Played,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3-Point Field Goals Made,3-Point Field Goals Attempted,3-Point Field Goal Percentage,2-Point Field Goals Made,2-Point Field Goals Attempted,2-Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
28.0,Utah Jazz,82,241.2,35.3,75.5,0.468,2.7,7.8,0.349,32.6,67.7,0.481,21.3,28.6,0.745,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,94.7
29.0,Washington Wizards,82,241.8,34.3,78.0,0.44,3.1,9.9,0.312,31.3,68.1,0.459,19.7,25.3,0.779,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20.0,91.5
1.0,Atlanta Hawks,82,242.7,34.5,79.6,0.433,5.1,15.2,0.335,29.4,64.4,0.456,18.7,24.1,0.776,12.1,30.6,42.7,20.1,7.6,5.0,16.5,22.3,92.8
2.0,Boston Celtics,82,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3
3.0,Chicago Bulls,82,241.8,34.1,82.4,0.414,5.2,15.3,0.342,28.9,67.0,0.431,16.2,22.4,0.725,12.8,30.7,43.5,21.9,8.0,4.8,16.1,23.3,89.7
4.0,Cleveland Cavaliers,82,242.1,35.6,82.4,0.433,3.0,9.6,0.314,32.6,72.8,0.448,18.6,24.8,0.753,13.6,31.9,45.6,22.0,7.1,6.5,14.8,21.3,92.9
5.0,Dallas Mavericks,82,241.5,40.5,88.2,0.459,6.2,17.8,0.348,34.3,70.4,0.488,18.0,22.6,0.796,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,105.2
6.0,Denver Nuggets,82,240.6,36.5,82.5,0.443,4.0,12.0,0.336,32.5,70.5,0.461,20.2,26.3,0.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,97.2
7.0,Detroit Pistons,82,241.2,33.5,77.0,0.435,4.1,11.8,0.344,29.4,65.2,0.452,19.0,25.3,0.753,12.4,30.4,42.8,20.8,8.0,7.0,15.1,20.3,90.1
8.0,Golden State Warriors,82,242.1,35.1,79.4,0.442,5.2,15.6,0.334,29.8,63.8,0.468,17.9,24.7,0.725,12.2,30.9,43.1,20.5,7.0,4.7,14.8,20.6,93.3
9.0,Houston Rockets,82,243.0,33.4,75.5,0.442,6.3,17.1,0.366,27.1,58.4,0.464,16.7,21.6,0.773,10.3,32.3,42.6,19.3,6.8,5.4,16.7,21.5,89.8
10.0,Indiana Pacers,82,241.5,33.6,77.1,0.435,5.5,15.6,0.351,28.1,61.5,0.457,18.8,24.6,0.764,11.8,29.9,41.7,21.6,8.9,5.0,14.4,20.8,91.4
11.0,Los Angeles Clippers,82,241.5,34.4,80.2,0.428,4.0,12.5,0.321,30.3,67.7,0.448,22.0,28.1,0.785,14.0,29.5,43.5,20.2,7.2,4.6,16.4,22.1,94.8
12.0,Los Angeles Lakers,82,242.1,36.9,81.4,0.454,4.5,13.6,0.327,32.5,67.8,0.479,19.9,28.7,0.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2
13.0,Memphis Grizzlies,82,242.4,36.1,81.2,0.445,5.5,16.0,0.34,30.7,65.2,0.471,19.0,26.1,0.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7
14.0,Miami Heat,82,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,90.3
15.0,Milwaukee Bucks,82,241.2,36.2,81.1,0.447,4.9,14.0,0.35,31.3,67.1,0.467,20.7,26.7,0.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98.0
16.0,Minnesota Timberwolves,82,240.9,37.0,80.1,0.462,4.0,10.9,0.363,33.0,69.2,0.477,16.6,21.3,0.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5
17.0,New Jersey Nets,82,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64.0,0.464,17.0,22.6,0.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,90.3
18.0,New Orleans Hornets,82,241.8,33.8,80.5,0.42,6.5,20.3,0.319,27.3,60.2,0.454,17.7,23.6,0.751,13.3,29.5,42.8,20.9,8.6,4.2,15.0,20.9,91.8
19.0,New York Knicks,82,242.4,35.1,79.4,0.442,5.0,13.6,0.364,30.2,65.8,0.459,16.8,21.1,0.793,11.6,31.0,42.6,20.7,7.4,4.8,15.7,23.1,92.0
20.0,Orlando Magic,82,241.8,35.4,82.5,0.429,5.2,15.2,0.344,30.2,67.3,0.448,18.0,24.4,0.737,12.2,28.7,40.9,19.3,6.7,3.8,13.7,21.3,94.0
21.0,Philadelphia 76ers,82,242.1,32.7,76.3,0.428,4.1,12.1,0.342,28.6,64.2,0.445,18.4,24.5,0.753,11.5,29.4,40.8,20.0,8.0,4.4,15.9,20.7,88.0
22.0,Phoenix Suns,82,240.6,36.1,81.4,0.443,5.1,14.7,0.345,31.0,66.7,0.465,17.0,22.7,0.746,11.3,29.3,40.6,19.3,9.0,4.7,15.2,22.7,94.2
23.0,Portland Trail Blazers,82,243.7,35.3,78.9,0.448,4.6,13.4,0.346,30.7,65.4,0.469,15.4,21.1,0.731,12.7,29.0,41.7,21.6,7.5,5.4,14.8,19.0,90.7
24.0,Sacramento Kings,82,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,102.8
