Rk,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Philadelphia 76ers*,82,242.1,35.4,79.1,.447,3.2,9.8,.326,32.2,69.3,.464,20.7,27.8,.745,13.1,31.7,44.8,20.6,8.4,5.0,15.8,20.4,94.7
21,Phoenix Suns*,82,241.5,35.9,82.4,.436,4.0,12.9,.315,31.9,69.5,.458,18.2,24.1,.755,11.8,30.8,42.7,23.2,9.5,5.2,15.2,22.7,94.0
22,Portland Trail Blazers*,82,241.2,36.6,78.3,.468,4.5,12.9,.349,32.1,65.4,.492,17.6,23.2,.762,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3,95.4
23,Sacramento Kings*,82,244.9,38.2,85.0,.449,5.8,16.5,.354,32.4,68.5,.472,19.5,25.3,.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
24,San Antonio Spurs*,82,241.8,35.2,76.4,.461,5.4,13.3,.407,29.7,63.0,.472,20.4,28.5,.715,11.0,33.1,44.1,21.7,6.9,7.0,14.0,18.9,96.2
25,Seattle SuperSonics,82,241.5,36.9,81.1,.456,5.7,14.3,.399,31.3,66.8,.468,17.7,24.2,.732,12.2,29.5,41.7,21.9,8.0,5.0,15.3,21.1,97.3
26,Toronto Raptors*,82,243.4,37.2,85.0,.437,5.2,14.2,.369,31.9,70.8,.451,18.1,24.2,.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6
27,Utah Jazz*,82,241.2,36.1,76.7,.471,4.0,10.4,.381,32.1,66.3,.485,20.9,27.8,.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1
28,Vancouver Grizzlies,82,241.2,35.0,79.7,.439,4.0,11.5,.343,31.0,68.2,.455,17.8,23.1,.770,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7
29,Washington Wizards,82,240.0,34.5,78.7,.439,3.4,10.3,.324,31.2,68.4,.456,20.8,27.4,.759,12.4,28.9,41.3,20.1,7.7,4.7,17.0,23.3,93.2
,League Average,82,242.0,35.7,80.6,.443,4.8,13.7,.354,30.8,66.9,.461,18.6,24.9,.748,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8
